title,app_awareness,entropy,crypto,security,standards,external,unclassified
Aardvark: An Asynchronous Authenticated Dictionary with Applications to Account-based Cryptocurrencies.,4,1.779192368676858,0.4791666666666667,0.041666666666666664,0.020833333333333332,0.1875,0.2708333333333333
Long Live The Honey Badger: Robust Asynchronous DPSS and its Applications.,1,1.6774212838293647,0.4375,0.375,0.0,0.0625,0.125
Leakage-Abuse Attacks Against Structured Encryption for SQL.,4,1.7419560553694582,0.2916666666666667,0.4791666666666667,0.0,0.10416666666666667,0.125
Tight Auditing of Differentially Private Machine Learning.,3,1.4819160784700844,0.5714285714285714,0.2857142857142857,0.0,0.02857142857142857,0.11428571428571428
GPU-accelerated PIR with Client-Independent Preprocessing for Large-Scale Applications.,4,1.84033830955357,0.3333333333333333,0.30952380952380953,0.0,0.07142857142857142,0.2857142857142857
Formal verification of the PQXDH Post-Quantum key agreement protocol for end-to-end secure messaging.,3,1.8230495016162371,0.3333333333333333,0.40476190476190477,0.0,0.14285714285714285,0.11904761904761904
Private Proof-of-Stake Blockchains using Differentially-Private Stake Distortion.,4,1.836409816268609,0.4666666666666667,0.2,0.016666666666666666,0.06666666666666667,0.25
How to Abuse and Fix Authenticated Encryption Without Key Commitment.,4,1.8602140233880782,0.5423728813559322,0.1016949152542373,0.05084745762711865,0.15254237288135594,0.15254237288135594
Hyperproofs: Aggregating and Maintaining Proofs in Vector Commitments.,2,1.626726515358481,0.5757575757575758,0.19696969696969696,0.0,0.09090909090909091,0.13636363636363635
PORE: Provably Robust Recommender Systems against Data Poisoning Attacks.,3,1.7708446124200048,0.043478260869565216,0.2391304347826087,0.021739130434782608,0.1956521739130435,0.5
Notus: Dynamic Proofs of Liabilities from Zero-knowledge RSA Accumulators.,4,1.791869142041066,0.4,0.35384615384615387,0.0,0.09230769230769231,0.15384615384615385
Two Shuffles Make a RAM: Improved Constant Overhead Zero Knowledge RAM.,3,1.6796654161182683,0.5,0.3,0.0,0.12,0.08
GoFetch: Breaking Constant-Time Cryptographic Implementations Using Data Memory-Dependent Prefetchers.,2,1.9116966876993668,0.23157894736842105,0.47368421052631576,0.031578947368421054,0.09473684210526316,0.16842105263157894
Single Pass Client-Preprocessing Private Information Retrieval.,3,1.8404132332592256,0.3939393939393939,0.09090909090909091,0.0,0.21212121212121213,0.30303030303030304
"Shaken, not Stirred - Automated Discovery of Subtle Attacks on Protocols using Mix-Nets.",3,1.9566115276288008,0.2826086956521739,0.30434782608695654,0.0,0.15217391304347827,0.2608695652173913
PEPSI: Practically Efficient Private Set Intersection in the Unbalanced Setting.,3,1.8973172606697073,0.391304347826087,0.21739130434782608,0.0,0.13043478260869565,0.2608695652173913
ElectionGuard: a Cryptographic Toolkit to Enable Verifiable Elections.,4,1.5400953207195516,0.6046511627906976,0.20930232558139536,0.0,0.11627906976744186,0.06976744186046512
TVA: A multi-party computation system for secure and expressive time series analytics.,4,1.9218245559185687,0.30612244897959184,0.3163265306122449,0.0,0.12244897959183673,0.25510204081632654
"Reversing, Breaking, and Fixing the French Legislative Election E-Voting Protocol.",3,2.0120158956199643,0.125,0.40625,0.03125,0.1875,0.25
Reef: Fast Succinct Non-Interactive Zero-Knowledge Regex Proofs.,3,2.035158679935612,0.4074074074074074,0.2716049382716049,0.04938271604938271,0.13580246913580246,0.13580246913580246
K-Waay: Fast and Deniable Post-Quantum X3DH without Ring Signatures.,3,1.143636625190374,0.75,0.15625,0.0,0.046875,0.046875
"Breaking Bridgefy, again: Adopting libsignal is not enough.",4,1.961359571069033,0.056338028169014086,0.22535211267605634,0.04225352112676056,0.38028169014084506,0.29577464788732394
GigaDORAM: Breaking the Billion Address Barrier.,3,1.770701012703968,0.48148148148148145,0.18518518518518517,0.0,0.09259259259259259,0.24074074074074073
Key Recovery Attacks on Approximate Homomorphic Encryption with Non-Worst-Case Noise Flooding Countermeasures.,1,1.524591667527626,0.6206896551724138,0.06896551724137931,0.0,0.1724137931034483,0.13793103448275862
PINE: Efficient Verification of a Euclidean Norm Bound of a Secret-Shared Vector.,3,2.006240035751828,0.43478260869565216,0.21739130434782608,0.043478260869565216,0.10869565217391304,0.1956521739130435
Closed-Form Bounds for DP-SGD against Record-level Inference.,2,1.7403410574831923,0.5,0.19444444444444445,0.0,0.08333333333333333,0.2222222222222222
VeriSimplePIR: Verifiability in SimplePIR at No Online Cost for Honest Servers.,2,1.8820488277869578,0.5,0.1875,0.03125,0.1875,0.09375
Mempool Privacy via Batched Threshold Encryption: Attacks and Defenses.,4,1.3668541733666326,0.6716417910447762,0.05970149253731343,0.0,0.07462686567164178,0.19402985074626866
Duoram: A Bandwidth-Efficient Distributed ORAM for 2- and 3-Party Computation.,1,1.6636361253912244,0.45,0.25,0.0,0.025,0.275
Downgrading DNSSEC: How to Exploit Crypto Agility for Hijacking Signed Zones.,3,1.9307701017629717,0.175,0.475,0.05,0.075,0.225
Practical Asynchronous High-threshold Distributed Key Generation and Distributed Polynomial Sampling.,2,1.524591667527626,0.6206896551724138,0.1724137931034483,0.0,0.06896551724137931,0.13793103448275862
Practical Privacy-Preserving Authentication for SSH.,3,1.6654628777850904,0.5652173913043478,0.15217391304347827,0.0,0.17391304347826086,0.10869565217391304
zkSaaS: Zero-Knowledge SNARKs as a Service.,3,1.6489998552819443,0.5487804878048781,0.24390243902439024,0.0,0.0975609756097561,0.10975609756097561
Prime Match: A Privacy-Preserving Inventory Matching System.,4,1.173030669557363,0.6666666666666666,0.0,0.0,0.07407407407407407,0.25925925925925924
Linear Private Set Union from Multi-Query Reverse Private Membership Test.,2,1.3868421881310118,0.6666666666666666,0.16666666666666666,0.0,0.041666666666666664,0.125
Experimenting with Collaborative zk-SNARKs: Zero-Knowledge Proofs for Distributed Secrets.,4,1.6184766302839548,0.5773195876288659,0.12371134020618557,0.0,0.09278350515463918,0.20618556701030927
TAP: Transparent and Privacy-Preserving Data Services.,2,1.9325517884690346,0.20588235294117646,0.38235294117647056,0.0,0.17647058823529413,0.23529411764705882
OblivGNN: Oblivious Inference on Transductive and Inductive Graph Neural Network.,3,1.8956414204368666,0.17391304347826086,0.30434782608695654,0.0,0.14492753623188406,0.37681159420289856
Wink: Deniable Secure Messaging.,4,1.9342611108439671,0.0847457627118644,0.3898305084745763,0.01694915254237288,0.2711864406779661,0.23728813559322035
Cheesecloth: Zero-Knowledge Proofs of Real World Vulnerabilities.,3,1.9761810226451753,0.2830188679245283,0.18867924528301888,0.0,0.3018867924528302,0.22641509433962265
MUSES: Efficient Multi-User Searchable Encrypted Database.,3,1.7082573635697214,0.32941176470588235,0.4117647058823529,0.0,0.2235294117647059,0.03529411764705882
